   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms
     11513   34.482952      1506.1567     -20263.669     -19041.43       1635.5122      237332.26           6279   1528.7726      11           
     11550   34.504185      1518.0654     -20273.332     -19041.43       1388.6958      237332.26           6279   1529.3562      11           
     11700   34.590265      1518.1859     -20273.433     -19041.432      1585.9504      237332.26           6279   1513.7534      11           
     11850   34.676345      1504.2073     -20262.096     -19041.439      1242.9122      237332.26           6279   1513.163       11           
     12000   34.789414      1460.1803     -20226.331     -19041.402      1207.898       237332.26           6279   1697.1818      11           
     12029   34.829506      1564.9674     -20211.515     -18941.349      1847.5557      237332.26           6280   1634.839       12           
     12150   34.898944      1560.1765     -20207.627     -18941.35       1475.4574      237332.26           6280   1587.9361      12           
     12300   34.985025      1547.0026     -20196.936     -18941.351      585.40916      237332.26           6280   1574.5308      12           
     12450   35.071097      1542.1109     -20192.972     -18941.357     -10.791125      237332.26           6280   1564.7858      12           
     12600   35.217103      1440.1786     -20127.41      -18958.526     -151.83069      237332.26           6279   1554.8868      12           
     12750   35.848914      1407.2916     -20100.888     -18958.696     -2915.5677      237332.26           6279   1554.0003      12           
     12900   36.583395      1377.267      -20076.644     -18958.821     -1700.9248      237332.26           6279   1468.8884      12           
     13050   37.347818      1390.2397     -20087.573     -18959.22       526.91633      237332.26           6279   1458.1589      12           
     13200   38.123451      1361.2705     -20064.219     -18959.379     -1683.2143      237332.26           6279   1420.535       12           
     13350   38.886463      1338.6233     -20046.015     -18959.556     -2541.801       237332.26           6279   1389.6703      12           
     13500   39.674283      1329.2456     -20038.654     -18959.806     -123.34808      237332.26           6279   1329.5332      12           
     13650   40.427811      1340.727      -20048.259     -18960.092     -69.696445      237332.26           6279   1386.177       12           
     13800   41.175806      1310.8009     -20024.07      -18960.192     -2625.36        237332.26           6279   1337.8382      12           
     13936   41.895769      1433.1821     -20023.633     -18860.427     -1760.9907      237332.26           6280   1320.2873      13           
     13950   41.903804      1429.6467     -20020.764     -18860.428     -1627.5452      237332.26           6280   1329.0798      13           
     14100   41.989884      1416.097      -20009.765     -18860.426     -1066.5434      237332.26           6280   1335.582       13           
     14250   42.075964      1443.3858     -20031.921     -18860.433     -1379.4881      237332.26           6280   1334.5084      13           
     14400   42.162628      1411.8366     -20006.415     -18860.534     -941.4306       237332.26           6280   1466.5202      13           
     14550   42.60071       1375.1781     -19976.506     -18860.378      771.48784      237332.26           6280   1433.4638      13           
     14700   43.349271      1347.8245     -19954.456     -18860.528     -2100.6183      237332.26           6280   1430.8835      13           
     14850   44.103007      1330.1398     -19940.386     -18860.812     -2712.5964      237332.26           6280   1420.7248      13           
     15000   44.878841      1333.5286     -19943.341     -18861.016     -705.16064      237332.26           6280   1346.5462      13           
     15150   45.660668      1325.1712     -19936.767     -18861.226     -951.43055      237332.26           6280   1348.7935      13           
     15300   46.435639      1308.8376     -19923.783     -18861.499     -2703.3095      237332.26           6280   1351.0017      13           
     15450   47.201429      1298.6922     -19915.925     -18861.875     -1861.8056      237332.26           6280   1378.6342      13           
     15600   47.980938      1304.5627     -19921.18      -18862.365      6.1002333      237332.26           6280   1359.3602      13           
     15750   48.757809      1287.7024     -19907.721     -18862.59      -1342.3294      237332.26           6280   1345.2404      13           
     15900   49.566399      1266.6045     -19890.667     -18862.66      -2696.017       237332.26           6280   1322.1308      13           
